5;39;9
5;37;2
5;36;4
5;35;10
5;34;0.860913
5;33;28
5;32;4
5;31;55
5;30;9
5;29;4
5;28;14
5;27;11
5;26;123
5;25;86
5;24;3.871201
5;23;4
5;22;8
5;21;7
5;20;11
5;19;4
5;13;31
5;12;1440
5;11;3
5;8;1
5;7;121
107;70;2
107;69;2
107;68;2
107;67;2
107;66;4
107;65;69
107;84;58
107;77;2
107;76;2
107;74;2
108;133;3
108;132;14
108;131;10
108;130;10
108;129;9
108;162;9
108;153;1
108;151;3
108;150;2
108;146;2
108;145;1
108;144;1
108;142;3
108;140;3
108;139;4
108;138;3
108;137;1
108;136;0.693147
108;135;2
108;134;2
114;133;4
114;132;8
114;131;7
114;130;8
114;129;10
114;162;10
114;151;4
114;150;2
114;146;4
114;144;2
114;142;4
114;140;1
114;137;1
114;136;1.386294
114;135;4
114;134;2
115;133;5
115;132;88
115;131;35
115;130;56
115;129;27
115;162;27
115;160;1
115;153;9
115;152;2
115;151;4
115;150;1
115;149;8
115;148;2
115;147;1
115;146;2
115;144;1
115;142;16
115;141;9
115;140;17
115;139;12
115;138;8
115;137;2
115;136;1.098612
115;135;3
115;134;3
128;133;4
128;132;13
128;131;9
128;130;12
128;129;9
128;162;9
128;152;2
128;151;3
128;150;2
128;148;2
128;146;2
128;145;1
128;144;1
128;142;5
128;140;3
128;137;1
128;136;0.693147
128;135;2
128;134;2
5;45;81
